seed,id,task,valid,score,repair_distance,error_type,error_position,length,max_depth,max_pairing_distance,vae_nll_per_token,vae_ppl,block_index,on_boundary
1234,o46527,structured,False,0.0,,parse_error,0,,,,,,,
1234,o3617,structured,False,0.0,,parse_error,0,,,,,,,
1234,o21456,structured,False,0.0,,parse_error,0,,,,,,,
1234,o90937,structured,False,0.0,,parse_error,0,,,,,,,
1234,o2965,structured,False,0.0,,parse_error,0,,,,,,,
1234,o89223,structured,False,0.0,,parse_error,9,,,,,,,
1234,o69508,structured,False,0.0,,parse_error,7,,,,,,,
1234,o63476,structured,False,0.0,,parse_error,0,,,,,,,
1234,o60839,structured,False,0.0,,parse_error,11,,,,,,,
1234,o9931,structured,False,0.0,,parse_error,0,,,,,,,
1234,o65447,structured,False,0.0,,parse_error,9,,,,,,,
1234,o13989,structured,False,0.0,,parse_error,0,,,,,,,
1234,o68328,structured,False,0.0,,parse_error,10,,,,,,,
1234,o12629,structured,False,0.0,,parse_error,0,,,,,,,
1234,o47163,structured,False,0.0,,parse_error,0,,,,,,,
1234,o58320,structured,False,0.0,,parse_error,0,,,,,,,
1234,o90946,structured,False,0.0,,parse_error,0,,,,,,,
1234,o50666,structured,False,0.0,,parse_error,0,,,,,,,
1234,o79449,structured,False,0.0,,parse_error,0,,,,,,,
1234,o45139,structured,False,0.0,,parse_error,0,,,,,,,
1234,o91103,structured,False,0.0,,parse_error,11,,,,,,,
1234,o13687,structured,False,0.0,,parse_error,0,,,,,,,
1234,o43993,structured,False,0.0,,parse_error,8,,,,,,,
1234,o9910,structured,False,0.0,,parse_error,0,,,,,,,
1234,o43295,structured,False,0.0,,parse_error,0,,,,,,,
1234,o24176,structured,False,0.0,,parse_error,14,,,,,,,
1234,o89900,structured,False,0.0,,parse_error,0,,,,,,,
1234,o9851,structured,False,0.0,,parse_error,0,,,,,,,
1234,o81574,structured,False,0.0,,parse_error,0,,,,,,,
1234,o21477,structured,False,0.0,,parse_error,0,,,,,,,
1234,o90314,structured,False,0.0,,parse_error,0,,,,,,,
1234,o28268,structured,False,0.0,,parse_error,0,,,,,,,
1234,o62771,structured,False,0.0,,parse_error,8,,,,,,,
1234,o40228,structured,False,0.0,,parse_error,6,,,,,,,
1234,o23494,structured,False,0.0,,parse_error,0,,,,,,,
1234,o9208,structured,False,0.0,,parse_error,0,,,,,,,
1234,o78734,structured,False,0.0,,parse_error,0,,,,,,,
1234,o68689,structured,False,0.0,,parse_error,0,,,,,,,
1234,o71425,structured,False,0.0,,parse_error,0,,,,,,,
1234,o45166,structured,False,0.0,,parse_error,0,,,,,,,
1234,o5187,structured,False,0.0,,parse_error,6,,,,,,,
1234,o72587,structured,False,0.0,,parse_error,0,,,,,,,
1234,o35168,structured,False,0.0,,parse_error,14,,,,,,,
1234,o6261,structured,False,0.0,,parse_error,0,,,,,,,
1234,o90441,structured,False,0.0,,parse_error,0,,,,,,,
1234,o72186,structured,False,0.0,,parse_error,0,,,,,,,
1234,o21499,structured,False,0.0,,parse_error,0,,,,,,,
1234,o20470,structured,False,0.0,,parse_error,0,,,,,,,
1234,o8491,structured,False,0.0,,parse_error,8,,,,,,,
1234,o27846,structured,False,0.0,,parse_error,10,,,,,,,
1234,o28203,structured,False,0.0,,parse_error,0,,,,,,,
1234,o71268,structured,False,0.0,,parse_error,0,,,,,,,
1234,o39445,structured,False,0.0,,parse_error,0,,,,,,,
1234,o89213,structured,False,0.0,,parse_error,0,,,,,,,
1234,o69958,structured,False,0.0,,parse_error,0,,,,,,,
1234,o39431,structured,False,0.0,,parse_error,0,,,,,,,
1234,o85927,structured,False,0.0,,parse_error,0,,,,,,,
1234,o48875,structured,False,0.0,,parse_error,0,,,,,,,
1234,o80803,structured,False,0.0,,parse_error,0,,,,,,,
1234,o63151,structured,False,0.0,,parse_error,0,,,,,,,
1234,o77730,structured,False,0.0,,parse_error,1,,,,,,,
1234,o62762,structured,False,0.0,,parse_error,0,,,,,,,
1234,o43224,structured,False,0.0,,parse_error,10,,,,,,,
